device_id,uptime_hours,failures,avg_latency_ms,error_rate
D836,1723,2,146.28,0.0243
D837,2946,1,150.98,0.0983
D838,1347,4,145.53,0.0871
D839,1157,3,185.12,0.0142
D840,933,1,328.55,0.0068
D841,1365,1,142.09,0.0067
D842,1693,1,115.92,0.0346
D843,1418,2,187.85,0.0695
D844,746,2,200.11,0.0318
D845,2334,7,219.42,0.07
D846,1637,2,195.26,0.0554
D847,2347,3,157.27,0.0508
D848,2584,3,118.01,0.0305
D849,518,0,170.13,0.0339
D850,1045,1,175.62,0.0462
D851,1820,2,151.39,0.0192
D852,548,0,249.12,0.0777
D853,2201,3,261.66,0.0794
D854,1901,3,298.67,0.0493
D855,591,2,112.91,0.0959
D856,2312,2,181.44,0.0411
D857,1716,3,158.77,0.0073
D858,2503,1,266.67,0.031
D859,1891,4,202.27,0.0024
D860,757,1,227.92,0.0736
D861,922,2,196.18,0.0113
D862,2360,5,192.62,0.0391
D863,1811,4,253.66,0.0246
D864,2980,3,172.66,0.019
D865,1669,1,248.6,0.0874
D866,1605,4,265.17,0.0463
D867,2940,5,105.62,0.0531
D868,1673,1,170.18,0.0238
D869,567,1,203.94,0.0017
D870,2927,5,208.37,0.0684
D871,2002,3,216.51,0.0285
D872,917,1,199.73,0.0845
D873,1939,1,171.67,0.0624
D874,1899,1,143.99,0.0718
D875,1575,1,151.29,0.0373
D876,651,2,235.17,0.0077
D877,809,0,176.13,0.0101
D878,1313,3,118.2,0.007
D879,2524,3,191.75,0.0146
D880,1334,1,254.13,0.073
D881,2631,2,257.02,0.0463
D882,2587,2,324.94,0.0268
D883,1022,1,288.63,0.045
D884,1338,2,219.38,0.0656
D885,2469,3,174.83,0.0625
D886,1689,2,156.77,0.0647
D887,2107,4,166.38,0.0441
D888,978,1,211.16,0.0438
D889,1823,2,81.42,0.0116
D890,1615,3,302.1,0.0121
D891,1422,1,258.44,0.097
D892,723,1,179.38,0.0739
D893,848,1,131.32,0.0791
D894,528,1,79.35,0.07
D895,2568,2,213.63,0.0881
D896,946,0,169.25,0.0654
D897,780,2,260.18,0.086
D898,1711,3,217.16,0.0932
D899,1188,5,191.68,0.067
D900,1780,0,176.51,0.0148
D901,2594,3,249.79,0.0252
D902,857,2,226.47,0.0555
D903,985,0,189.37,0.0349
D904,2189,4,258.95,0.0948
D905,1948,1,204.79,0.0821
D906,2772,5,170.33,0.084
D907,1226,3,145.18,0.0762
D908,1652,0,254.73,0.0518
D909,1164,0,216.16,0.0622
D910,2101,0,264.19,0.0664
D911,1525,0,231.89,0.0293
D912,2420,0,222.5,0.0954
D913,604,0,157.74,0.0243
D914,2015,0,227.67,0.0489
D915,1981,3,138.17,0.0165
D916,2302,5,233.78,0.0984
D917,796,0,120.82,0.0916
D918,2554,3,220.65,0.0618
D919,2167,3,161.29,0.082
D920,2583,1,197.21,0.0429
D921,2100,1,284.32,0.0842
D922,1879,3,182.81,0.0659
D923,2057,1,221.14,0.0149
D924,2497,2,61.29,0.0472
D925,1622,1,183.29,0.0231
D926,1646,3,228.74,0.0443
D927,2390,2,231.86,0.0479
D928,2181,4,133.09,0.0722
D929,2704,3,240.94,0.0186
D930,611,1,207.9,0.0273
D931,1615,1,231.06,0.0989
D932,1056,1,264.43,0.0306
D933,1041,0,167.48,0.0268
D934,1404,3,230.92,0.0175
D935,1823,1,263.14,0.0789
D936,2899,5,243.84,0.0368
D937,2833,1,207.14,0.048
D938,2673,6,200.5,0.0911
D939,1096,1,133.07,0.0455
D940,990,1,243.16,0.0511
D941,1324,1,246.98,0.035
D942,827,3,262.15,0.053
D943,2960,4,217.81,0.0219
D944,2168,1,263.08,0.0582
D945,632,0,219.32,0.0454
D946,2270,1,241.89,0.0913
D947,2211,6,130.36,0.0469
D948,2448,4,198.27,0.0641
D949,2086,1,212.3,0.0452
D950,2024,1,159.89,0.0474
D951,1280,2,183.82,0.0857
D952,1203,1,195.96,0.0966
D953,1895,5,156.21,0.0514
D954,1816,2,190.43,0.0735
D955,2026,3,160.0,0.0705
D956,1254,1,186.49,0.0683
D957,2406,4,215.57,0.09
D958,1672,4,155.72,0.0489
D959,1540,1,169.58,0.0807
D960,2616,2,229.63,0.0158
D961,1172,1,201.35,0.0508
D962,1900,0,217.85,0.0571
D963,1370,3,242.8,0.0671
D964,2060,3,228.75,0.0652
D965,1318,1,162.39,0.0647
D966,2808,2,209.74,0.0128
D967,1938,3,251.0,0.0268
D968,1050,3,227.4,0.0453
D969,1499,1,125.14,0.0791
D970,1303,0,264.05,0.0281
D971,668,2,172.65,0.0296
D972,1523,0,195.07,0.0459
D973,1602,5,253.93,0.0498
D974,2993,6,183.61,0.0796
D975,1112,3,210.98,0.0179
D976,721,0,184.47,0.0045
D977,1795,2,251.77,0.0335
D978,2308,2,139.48,0.0734
D979,2172,1,271.37,0.0345
D980,1268,4,179.03,0.0686
D981,1266,3,198.56,0.0091
D982,995,0,133.57,0.0587
D983,2572,1,47.61,0.0048
D984,1705,1,178.81,0.0123
D985,1758,4,176.58,0.0382
D986,1040,1,162.06,0.0028
D987,770,2,205.57,0.0477
D988,2229,3,259.22,0.0517
D989,2665,4,202.13,0.0683
D990,520,2,289.37,0.0499
D991,871,0,165.65,0.0262
D992,1345,1,132.47,0.0571
D993,1160,0,207.35,0.0064
D994,2773,1,173.89,0.0884
D995,1760,3,187.5,0.0249
D996,1939,2,155.89,0.0154
D997,728,0,202.68,0.027
D998,2663,3,248.58,0.0061
D999,1117,2,207.58,0.057
D1000,1805,2,112.93,0.0198
D1001,2394,2,266.6,0.0912
D1002,1334,2,106.95,0.0168
D1003,2927,5,243.26,0.0611
D1004,1315,0,240.5,0.002
D1005,2113,1,174.89,0.0028
D1006,1714,1,149.64,0.0918
D1007,2158,2,190.81,0.0975
D1008,1982,1,209.41,0.0865
D1009,2459,9,206.94,0.0806
D1010,2702,1,258.86,0.045
D1011,2323,4,226.15,0.0327
D1012,2277,2,193.6,0.0727
D1013,1825,0,146.84,0.057
D1014,920,1,220.73,0.0531
D1015,2418,3,214.34,0.0726
D1016,904,0,192.64,0.0094
D1017,614,1,166.56,0.0201
D1018,868,0,188.77,0.0686
D1019,1420,2,173.06,0.0103
D1020,1323,0,120.11,0.0198
D1021,1297,1,256.21,0.0808
D1022,1603,3,271.4,0.0999
D1023,1626,1,239.37,0.0969
D1024,2779,6,206.48,0.0633
D1025,1125,1,200.7,0.0832
D1026,1663,1,136.9,0.061
D1027,1164,0,236.55,0.0968
D1028,862,0,226.92,0.0182
D1029,2380,6,294.27,0.073
D1030,1812,3,153.6,0.0336
D1031,2031,5,183.71,0.0321
D1032,1116,1,237.03,0.0213
D1033,1002,1,104.9,0.0916
D1034,901,1,137.51,0.0889
D1035,615,0,178.14,0.0165
D1036,709,0,118.71,0.0787
D1037,1393,5,287.12,0.0124
D1038,2768,2,302.72,0.0726
D1039,1857,4,260.23,0.0997
D1040,2660,0,209.13,0.0504
D1041,2166,6,239.57,0.0363
D1042,2862,6,222.75,0.0756
D1043,1371,1,175.97,0.0626
D1044,582,1,326.97,0.0276
D1045,1443,1,186.22,0.0709
D1046,548,1,192.92,0.0378
D1047,1036,0,227.46,0.0612
D1048,1466,1,201.44,0.0094
D1049,946,0,114.59,0.0355
D1050,2776,3,223.08,0.0513
D1051,1651,2,284.62,0.0631
D1052,528,1,213.23,0.0076
D1053,2159,6,193.79,0.0673
D1054,858,3,189.43,0.0343
D1055,1676,2,242.92,0.0324
D1056,839,0,241.78,0.0266
D1057,1298,1,161.69,0.0192
D1058,2026,3,143.6,0.0659
D1059,1165,1,210.93,0.0921
D1060,1863,5,177.68,0.0507
D1061,2185,2,227.8,0.0459
D1062,1250,2,170.44,0.091
D1063,2559,5,205.26,0.0126
D1064,2910,4,269.41,0.0609
D1065,1304,0,214.55,0.0208
D1066,2598,6,174.65,0.008
D1067,2815,3,215.39,0.0643
D1068,2187,3,303.41,0.0681
D1069,770,2,170.01,0.09
D1070,1661,2,122.06,0.0206
D1071,1093,1,176.66,0.0259
D1072,2457,2,125.85,0.0365
D1073,970,1,191.94,0.0795
D1074,1364,2,233.07,0.0832
D1075,810,2,264.54,0.0659
D1076,1446,0,329.4,0.0522
D1077,1348,0,126.48,0.0548
D1078,2535,4,136.86,0.0487
D1079,2573,4,165.65,0.031
D1080,1301,2,269.63,0.0252
D1081,2415,2,242.89,0.0858
D1082,2236,2,227.68,0.0474
D1083,1283,1,186.38,0.06
D1084,1229,1,261.69,0.0554
D1085,1297,1,198.5,0.0163
D1086,536,2,191.21,0.0246
D1087,1990,8,202.41,0.0591
D1088,1067,0,149.25,0.0455
D1089,1685,2,185.15,0.0292
D1090,668,1,184.96,0.0525
D1091,2370,2,262.48,0.0165
D1092,1624,2,221.06,0.0361
D1093,776,1,230.69,0.0939
D1094,2927,4,218.77,0.0115
D1095,1656,3,203.09,0.0067
D1096,2333,7,153.62,0.0109
D1097,2436,3,236.52,0.0602
D1098,1481,4,202.97,0.0813
D1099,2067,2,242.11,0.0905
D1100,2694,4,201.16,0.0175
D1101,1877,0,133.46,0.0603
D1102,2146,3,91.1,0.0334
D1103,2366,4,210.13,0.0242
D1104,2570,3,212.01,0.0271
D1105,1180,0,123.42,0.0857
D1106,796,1,257.51,0.0491
D1107,2925,3,234.19,0.0932
D1108,895,1,197.34,0.0515
D1109,2486,4,209.32,0.0534
D1110,752,0,188.11,0.0047
D1111,722,2,242.61,0.0383
D1112,2385,3,168.04,0.0299
D1113,1214,3,214.95,0.018
D1114,935,2,212.75,0.0409
D1115,1599,3,138.24,0.0063
D1116,1965,3,202.1,0.0597
D1117,641,1,275.77,0.0145
D1118,1262,2,219.09,0.0909
D1119,1526,3,156.01,0.0514
D1120,1812,7,127.03,0.0121
D1121,1245,1,260.4,0.0442
D1122,2225,2,87.72,0.0202
D1123,532,3,147.44,0.0166
D1124,1699,4,73.41,0.0897
D1125,837,1,178.99,0.0195
D1126,2148,3,205.54,0.0838
D1127,575,1,277.46,0.0031
D1128,2556,3,239.51,0.0743
D1129,1714,3,236.25,0.0013
D1130,2278,4,272.18,0.0838
D1131,901,1,179.26,0.0595
D1132,1534,1,232.18,0.0933
D1133,1612,3,262.83,0.031
D1134,646,1,190.0,0.0129
D1135,788,1,151.93,0.0025
D1136,1695,3,84.27,0.0394
D1137,1806,2,232.21,0.0068
D1138,1074,3,170.64,0.0767
D1139,1218,1,204.23,0.0529
D1140,1538,0,178.07,0.0995
D1141,1084,2,256.25,0.0837
D1142,1242,1,112.86,0.0209
D1143,1898,2,189.31,0.0723
D1144,2277,3,248.52,0.0334
D1145,1373,1,197.68,0.0786
D1146,1958,2,277.76,0.0285
D1147,1509,2,153.0,0.0492
D1148,1757,4,223.83,0.066
D1149,2355,1,272.71,0.0892
D1150,1009,1,271.47,0.0772
D1151,1748,1,216.32,0.0513
D1152,881,1,262.03,0.0585
D1153,1365,0,199.93,0.0444
D1154,2515,2,256.21,0.027
D1155,2379,5,205.2,0.0462
D1156,2903,5,215.74,0.0923
D1157,2540,1,239.83,0.0812
D1158,2231,4,239.81,0.0144
D1159,2173,2,57.2,0.0763
D1160,2215,2,178.35,0.0275
D1161,795,2,201.33,0.0974
D1162,1536,0,186.65,0.0309
D1163,1744,1,194.75,0.0019
D1164,2384,4,230.64,0.0699
D1165,941,3,280.8,0.0827
D1166,590,1,241.3,0.0177
D1167,1015,2,185.75,0.0557
D1168,2091,0,232.1,0.0723
D1169,640,1,182.17,0.0334
D1170,1481,0,261.98,0.0058
D1171,2535,4,197.2,0.0876
D1172,2607,3,180.87,0.0114
D1173,1940,6,202.78,0.0074
D1174,756,0,227.08,0.0978
D1175,2596,5,274.35,0.0081
D1176,933,1,144.69,0.0791
D1177,545,0,162.2,0.0015
D1178,1291,1,243.36,0.0658
D1179,1588,2,125.43,0.0216
D1180,713,0,282.51,0.0741
D1181,1742,0,274.67,0.0197
D1182,1704,0,305.95,0.0993
D1183,1603,0,242.46,0.0538
D1184,611,1,136.27,0.0356
D1185,516,0,183.52,0.0476
D1186,2078,3,115.07,0.0171
D1187,646,2,218.94,0.0459
D1188,1944,2,234.77,0.0857
D1189,958,0,214.61,0.0637
D1190,1950,2,233.63,0.0172
D1191,1511,2,276.62,0.0843
D1192,1269,2,200.51,0.0976
D1193,1940,2,217.54,0.0564
D1194,2472,1,137.77,0.0896
D1195,2681,3,223.55,0.0589
D1196,1687,2,35.19,0.0099
D1197,2487,4,153.93,0.0095
D1198,1277,2,171.73,0.0657
D1199,1574,3,216.9,0.0224
D1200,2355,1,232.3,0.0033
D1201,2832,0,186.57,0.0756
D1202,2964,4,275.02,0.0125
D1203,712,1,198.41,0.0103
D1204,2282,2,301.89,0.0265
D1205,2881,1,206.48,0.087
D1206,1919,4,245.3,0.0872
D1207,1484,3,189.03,0.0104
D1208,1063,0,200.99,0.0445
D1209,1098,1,208.77,0.0958
D1210,969,1,210.58,0.0279
D1211,2131,1,180.07,0.0672
D1212,631,1,224.31,0.0138
D1213,2005,2,207.94,0.0194
D1214,1027,1,249.57,0.0122
D1215,1610,2,239.95,0.0331
D1216,1741,3,234.95,0.0617
D1217,2277,3,185.4,0.0505
D1218,915,1,179.81,0.0204
D1219,1595,2,206.72,0.0989
D1220,2256,0,167.58,0.0782
D1221,1207,4,310.42,0.0455
D1222,1492,1,170.28,0.0578
D1223,2515,3,248.79,0.0921
D1224,2092,1,200.04,0.0373
D1225,1707,1,282.67,0.0917
D1226,596,1,231.15,0.0011
D1227,956,2,230.1,0.0612
D1228,703,0,174.23,0.0842
D1229,942,4,238.22,0.0312
D1230,1189,2,156.27,0.0674
D1231,1283,4,171.83,0.0642
D1232,1156,2,198.34,0.068
D1233,767,0,206.89,0.0654
D1234,2940,7,297.83,0.0053
D1235,2277,1,197.82,0.0339
D1236,2133,2,179.26,0.0644
D1237,2471,1,229.43,0.0756
D1238,2807,2,236.42,0.0851
D1239,2616,3,237.53,0.0349
D1240,1504,4,219.51,0.0528
D1241,1784,0,316.05,0.0488
D1242,1041,2,230.17,0.0313
D1243,1972,2,210.43,0.0136
D1244,1126,2,248.41,0.0714
D1245,1016,2,277.43,0.0542
D1246,722,0,216.01,0.0333
D1247,1002,0,161.71,0.0955
D1248,1550,1,195.28,0.0643
D1249,1829,1,208.17,0.0929
D1250,2073,1,152.43,0.0934
D1251,2654,4,208.8,0.0521
D1252,2950,3,251.64,0.0739
D1253,678,1,226.71,0.031
D1254,1460,0,163.66,0.0451
D1255,1687,1,241.12,0.0269
D1256,2992,2,158.15,0.009
D1257,1792,4,158.84,0.0722
D1258,937,1,187.35,0.0331
D1259,1261,1,267.12,0.0443
D1260,637,1,235.11,0.088
D1261,1327,1,253.61,0.0505
D1262,1032,2,184.73,0.0435
D1263,2038,2,221.51,0.0195
D1264,980,0,242.3,0.0132
D1265,1698,0,215.8,0.0856
D1266,543,1,171.7,0.0421
D1267,2351,3,274.86,0.008
D1268,1714,2,260.74,0.073
D1269,2518,4,180.93,0.0214
D1270,1689,2,133.98,0.0907
D1271,2867,4,265.78,0.0618
D1272,2854,2,192.76,0.0127
D1273,2845,5,174.48,0.0205
D1274,1389,1,181.14,0.0579
D1275,1231,1,136.81,0.0018
D1276,1787,4,131.47,0.0025
D1277,2915,2,196.84,0.0554
D1278,1615,3,167.01,0.0946
D1279,2648,2,186.72,0.0496
D1280,1807,4,268.51,0.0331
D1281,1862,2,177.18,0.0497
D1282,734,2,264.22,0.0683
D1283,1060,0,162.2,0.0123
D1284,2279,1,218.02,0.0972
D1285,2409,2,169.75,0.0824
D1286,1994,2,224.89,0.0131
D1287,626,0,204.21,0.0651
D1288,1412,1,169.97,0.0629
D1289,993,2,250.57,0.0828
D1290,707,2,234.33,0.0048
D1291,2007,1,319.6,0.0041
D1292,1009,0,161.63,0.0426
D1293,2189,1,146.79,0.0028
D1294,1961,1,111.71,0.0691
D1295,507,0,98.78,0.0841
D1296,2608,4,190.17,0.0322
D1297,2741,2,247.94,0.0105
D1298,1677,0,256.38,0.0411
D1299,1315,1,179.54,0.0676
D1300,1764,2,208.03,0.0775
D1301,2025,5,175.42,0.0828
D1302,560,2,129.36,0.0615
D1303,2790,1,194.27,0.0279
D1304,1378,2,204.2,0.0462
D1305,1261,0,178.4,0.011
D1306,2338,3,290.38,0.0122
D1307,2092,4,194.23,0.0556
D1308,1703,3,120.82,0.002
D1309,2298,3,278.68,0.0689
D1310,1610,2,171.21,0.0538
D1311,2589,2,187.05,0.0686
D1312,2342,2,190.61,0.0885
D1313,2441,3,229.5,0.0415
D1314,753,0,187.17,0.0255
D1315,1485,2,221.97,0.0207
D1316,1517,1,263.4,0.0688
D1317,1517,3,248.65,0.025
D1318,908,4,153.79,0.0345
D1319,1937,3,226.07,0.0971
D1320,1703,1,266.85,0.0402
D1321,764,1,188.76,0.0409
D1322,765,0,249.93,0.0951
D1323,1901,1,170.41,0.0249
D1324,2469,4,262.08,0.0715
D1325,2455,3,290.0,0.0938
D1326,1745,1,196.52,0.0689
D1327,2896,4,130.83,0.0244
D1328,1062,0,245.09,0.0066
D1329,2210,0,178.02,0.0937
D1330,2669,1,170.23,0.0144
D1331,1829,1,124.67,0.0681
D1332,2448,3,149.79,0.0932
D1333,1688,2,157.51,0.0182
D1334,2200,3,175.85,0.0692
D1335,1250,2,185.79,0.0556
D1336,1757,3,237.67,0.032
D1337,1082,2,291.04,0.0795
D1338,2935,1,221.56,0.0335
D1339,2315,4,194.47,0.0793
D1340,2257,0,176.74,0.0627
D1341,2452,2,180.98,0.0218
D1342,2706,2,159.16,0.0327
D1343,1085,1,277.56,0.0349
D1344,2238,1,244.11,0.0525
D1345,1187,0,140.89,0.0234
D1346,2179,3,220.05,0.0904
D1347,2333,1,228.95,0.0622
D1348,1701,4,223.0,0.005
D1349,1161,0,154.8,0.0513
D1350,645,2,110.08,0.0088
D1351,2015,0,227.84,0.0715
D1352,1896,3,98.38,0.047
D1353,1777,4,198.91,0.0468
D1354,2604,2,235.36,0.0036
D1355,1229,3,307.15,0.0832
D1356,1182,4,176.51,0.0893
D1357,656,0,218.72,0.0141
D1358,1091,1,179.55,0.0766
D1359,665,2,198.01,0.0692
D1360,598,0,163.61,0.0301
D1361,1150,0,111.73,0.052
D1362,1568,1,287.05,0.0831
D1363,2450,4,160.64,0.096
D1364,870,2,210.17,0.0455
D1365,803,3,88.48,0.0217
D1366,1914,1,294.04,0.0012
D1367,1719,3,275.74,0.0158
D1368,2503,2,220.53,0.0139
D1369,983,0,198.96,0.0426
D1370,886,1,112.81,0.0673
D1371,706,0,229.85,0.0422
D1372,2224,3,143.18,0.025
D1373,581,1,172.75,0.0946
D1374,1579,2,290.84,0.0212
D1375,714,2,222.07,0.011
D1376,654,2,206.75,0.0032
D1377,511,0,213.04,0.068
D1378,1801,3,224.04,0.0255
D1379,523,2,201.52,0.0239
D1380,2919,6,155.14,0.0148
D1381,1972,2,223.66,0.001
D1382,2095,2,164.85,0.0655
D1383,1693,0,186.48,0.0489
D1384,1622,3,144.77,0.0165
D1385,1145,0,296.05,0.0535
D1386,2696,2,193.97,0.0561
D1387,924,1,172.17,0.0956
D1388,2623,4,158.07,0.0342
D1389,1475,2,212.72,0.0419
D1390,2845,2,164.91,0.0774
D1391,592,1,166.56,0.0088
D1392,1783,3,247.11,0.0394
D1393,1778,2,152.27,0.0351
D1394,2759,2,225.91,0.0115
D1395,2002,4,245.41,0.0019
D1396,2194,1,222.32,0.0928
D1397,1716,3,235.93,0.0163
D1398,2015,2,221.3,0.0493
D1399,829,2,260.1,0.003
D1400,595,0,200.44,0.0864
D1401,2778,4,232.04,0.051
D1402,2942,4,203.99,0.0541
D1403,597,0,207.5,0.0414
D1404,2696,2,236.15,0.0588
D1405,2709,6,195.37,0.0073
D1406,525,0,201.5,0.0503
D1407,821,0,199.94,0.0598
D1408,2372,2,135.45,0.081
D1409,1406,3,132.74,0.061
D1410,2900,3,252.42,0.0524
D1411,1479,2,262.73,0.0652
D1412,607,1,228.12,0.0508
D1413,1374,2,158.71,0.089
D1414,1467,0,292.32,0.0041
D1415,2511,4,249.55,0.0727
D1416,2668,4,184.9,0.0808
D1417,947,1,61.01,0.013
D1418,1536,3,148.34,0.0063
D1419,1638,0,268.16,0.0486
D1420,2037,4,230.72,0.0221
D1421,1131,2,207.41,0.0261
D1422,1421,1,190.64,0.0036
D1423,2120,1,157.02,0.0561
D1424,1203,1,155.47,0.0974
D1425,1084,1,254.85,0.0326
D1426,1040,1,173.85,0.0501
D1427,918,0,183.9,0.0965
D1428,2707,3,160.75,0.0146
D1429,2036,2,154.2,0.0557
D1430,2635,2,179.11,0.0164
D1431,1091,0,205.22,0.0301
D1432,1943,2,179.87,0.0631
D1433,2617,1,181.61,0.0654
D1434,2592,3,235.13,0.0659
D1435,2865,6,226.58,0.0018
D1436,2419,1,110.67,0.0517
D1437,753,1,197.08,0.0039
D1438,2635,2,241.32,0.0074
D1439,2255,1,231.75,0.0786
D1440,2031,0,175.28,0.0698
D1441,1339,2,186.16,0.038
D1442,833,1,166.41,0.0044
D1443,2481,2,194.53,0.0405
D1444,2867,4,166.24,0.0149
D1445,1723,1,191.98,0.0913
D1446,2286,0,226.37,0.037
D1447,2083,7,312.2,0.0831
D1448,2560,2,63.7,0.0619
D1449,1795,2,255.51,0.0363
D1450,2431,2,214.77,0.0214
D1451,1829,1,187.85,0.032
D1452,962,1,243.19,0.0321
D1453,842,0,217.64,0.0931
D1454,2631,2,222.81,0.0764
D1455,1689,1,248.39,0.0613
D1456,1263,0,219.95,0.0642
D1457,2142,0,297.66,0.0596
D1458,2282,2,234.35,0.0682
D1459,1282,1,280.28,0.0335
D1460,2505,4,95.96,0.0461
D1461,2113,5,302.67,0.0106
D1462,2472,2,248.26,0.0933
D1463,2533,4,233.76,0.0503
D1464,2708,2,114.2,0.0062
D1465,768,0,228.83,0.0603
D1466,2954,4,266.76,0.0874
D1467,2743,3,152.13,0.0565
D1468,2055,4,159.11,0.0985
D1469,2811,4,64.15,0.0992
D1470,2811,2,235.01,0.0322
D1471,2154,4,231.4,0.0814
D1472,2563,2,205.73,0.0931
D1473,1276,2,215.26,0.0838
D1474,2837,5,162.52,0.0337
D1475,1204,2,217.34,0.0051
D1476,1139,0,220.29,0.0111
D1477,2907,3,191.58,0.0581
D1478,2447,1,230.18,0.0196
D1479,2499,1,171.63,0.072
D1480,746,2,231.83,0.0051
D1481,2339,4,132.29,0.0881
D1482,659,0,103.68,0.0962
D1483,1661,3,295.98,0.0682
D1484,1697,4,217.78,0.0939
D1485,2749,4,144.27,0.0415
D1486,1333,1,113.04,0.0638
D1487,1591,1,208.03,0.0663
D1488,1304,1,233.11,0.0934
D1489,705,0,187.15,0.0278
D1490,1320,1,213.88,0.004
D1491,1585,0,157.31,0.024
D1492,806,1,167.84,0.0057
D1493,2108,1,259.52,0.0724
D1494,1126,0,251.87,0.0318
D1495,1268,2,235.96,0.0946
D1496,1466,0,290.99,0.0876
D1497,1217,1,299.18,0.0794
D1498,1983,3,200.59,0.0635
D1499,1982,4,209.15,0.0537
D1500,1323,2,158.29,0.0526
D1501,2943,2,161.26,0.0065
D1502,1947,0,236.08,0.011
D1503,1166,1,254.49,0.0707
D1504,2952,2,253.63,0.0276
D1505,2351,2,164.22,0.025
D1506,859,0,256.07,0.0459
D1507,1454,3,147.49,0.0155
D1508,2049,3,151.39,0.0086
D1509,1067,1,178.9,0.0089
D1510,856,1,201.82,0.0848
D1511,535,1,312.18,0.0797
D1512,2944,8,171.05,0.0272
D1513,648,1,170.02,0.026
D1514,1028,1,220.6,0.0354
D1515,2131,3,174.86,0.0652
D1516,1038,0,258.94,0.062
D1517,771,1,162.02,0.0344
D1518,706,2,233.18,0.0719
D1519,684,0,159.74,0.0594
D1520,2974,4,227.45,0.0998
D1521,1111,2,266.87,0.0236
D1522,2381,3,97.33,0.0856
D1523,1444,1,289.8,0.006
D1524,1583,4,220.03,0.0783
D1525,667,1,198.08,0.0568
D1526,1633,1,276.57,0.0039
D1527,614,0,106.25,0.054
D1528,1859,2,259.0,0.095
D1529,1112,1,129.85,0.0767
D1530,1449,2,243.92,0.069
D1531,1270,1,183.67,0.024
D1532,2440,1,141.45,0.0096
D1533,809,2,161.37,0.0602
D1534,515,0,197.1,0.0836
D1535,2490,3,165.96,0.0281
D1536,943,0,204.54,0.0704
D1537,1470,2,156.69,0.0157
D1538,2659,1,225.37,0.0245
D1539,2826,1,262.98,0.0143
D1540,1703,3,301.88,0.0361
D1541,752,0,247.41,0.0667
D1542,997,1,184.7,0.0738
D1543,1847,2,151.65,0.0837
D1544,515,0,249.24,0.0693
D1545,2516,5,241.35,0.0806
D1546,1686,0,124.4,0.0092
D1547,2273,1,201.13,0.0053
D1548,1824,2,86.12,0.05
D1549,1909,0,313.97,0.0104
D1550,511,1,165.23,0.0188
D1551,2625,2,287.24,0.0085
D1552,2244,2,320.24,0.0723
D1553,2025,2,208.82,0.0084
D1554,1359,2,222.56,0.0364
D1555,1581,3,301.34,0.0777
D1556,2522,1,155.35,0.0218
D1557,2922,2,129.14,0.0456
D1558,1343,1,110.16,0.0947
D1559,1669,2,132.95,0.0512
D1560,813,1,242.5,0.0694
D1561,2385,4,182.03,0.0111
D1562,2293,2,259.66,0.0716
D1563,1442,1,163.75,0.0552
D1564,1308,0,155.22,0.0162
D1565,2095,2,202.58,0.0137
D1566,1891,2,273.48,0.0916
D1567,1405,1,259.46,0.0816
D1568,1133,0,233.36,0.0861
D1569,1568,2,219.82,0.0725
D1570,1800,3,208.49,0.0567
D1571,1286,2,145.76,0.0698
D1572,1474,2,181.82,0.0803
D1573,2457,0,181.23,0.0489
D1574,1540,1,197.56,0.0513
D1575,1717,4,159.89,0.0257
D1576,2664,6,174.77,0.0872
D1577,2422,0,253.65,0.0057
D1578,2351,4,157.33,0.043
D1579,1899,1,165.94,0.0332
D1580,1920,0,326.31,0.032
D1581,775,0,197.78,0.0419
D1582,674,0,227.29,0.0837
D1583,2788,2,164.43,0.0901
D1584,2342,4,232.43,0.0802
D1585,641,0,199.8,0.0359
D1586,1072,0,197.94,0.0226
D1587,1412,1,189.27,0.0223
D1588,2874,5,20.0,0.0147
D1589,877,1,147.87,0.0463
D1590,1598,4,210.63,0.069
D1591,2008,3,259.26,0.0834
D1592,1821,5,57.4,0.0348
D1593,1133,1,154.71,0.0992
D1594,2556,6,159.42,0.0638
D1595,2681,4,228.21,0.0538
D1596,2757,5,151.02,0.0699
D1597,2412,2,200.55,0.003
D1598,1863,1,125.93,0.0272
D1599,2065,4,237.67,0.0972
D1600,1125,3,164.11,0.0629
D1601,2021,1,173.39,0.078
D1602,2653,2,235.21,0.0507
D1603,1751,7,116.92,0.0022
D1604,2114,3,137.52,0.0025
D1605,2356,2,260.68,0.0684
D1606,2863,5,182.87,0.0973
D1607,1151,3,104.53,0.0163
D1608,1368,2,234.42,0.0979
D1609,1626,0,132.98,0.0912
D1610,2843,4,184.01,0.0269
D1611,714,0,271.02,0.0559
D1612,964,3,158.88,0.0717
D1613,2688,4,248.82,0.0109
D1614,2477,4,246.54,0.0479
D1615,2111,4,232.1,0.0106
D1616,1493,2,186.49,0.0909
D1617,2752,4,167.47,0.0478
D1618,579,3,183.67,0.0022
D1619,1639,0,192.45,0.0143
D1620,533,0,157.51,0.0446
D1621,1634,4,257.67,0.0804
D1622,2844,4,153.1,0.0497
D1623,2016,2,239.14,0.0833
D1624,2562,1,105.83,0.0194
D1625,534,0,278.8,0.0133
D1626,1946,4,127.14,0.03
D1627,1779,1,229.99,0.049
D1628,1465,0,205.59,0.0859
D1629,1419,2,255.45,0.0188
D1630,1537,4,242.72,0.0063
D1631,2092,5,186.27,0.0185
D1632,2171,2,177.14,0.0044
D1633,1411,4,214.96,0.0351
